Date,High,Low,Volume,Adj Close
2000-01-03,89.5625,79.046875,16117600,89.375
2000-01-04,91.5,81.75,17487400,81.9375
2000-01-05,75.125,68.0,38457400,69.75
2000-01-06,72.6875,64.0,18752000,65.5625
2000-01-07,70.5,66.1875,10505400,69.5625
2000-01-10,72.625,65.5625,14757900,69.1875
2000-01-11,70.0,65.0,10532700,66.75
2000-01-12,68.0,63.0,10804500,63.5625
2000-01-13,67.1875,63.125,10448100,65.9375
2000-01-14,68.625,64.0,6853600,64.25
2000-01-18,65.1875,63.0,5384900,64.125
2000-01-19,67.5,63.0,8245500,66.8125
2000-01-20,67.0,63.9375,5978000,64.75
2000-01-21,64.625,60.0,11461900,62.0625
2000-01-24,73.375,67.5,29170200,70.125
2000-01-25,71.25,66.0,9434100,69.25
2000-01-26,70.0,64.75,6558000,64.8125
2000-01-27,67.75,64.625,6784000,66.9375
2000-01-28,66.4375,60.0,13777900,61.6875
2000-01-31,64.75,58.4375,10697900,64.5625
2000-02-01,70.625,64.375,13404600,67.4375
2000-02-02,72.25,67.75,14025900,69.4375
2000-02-03,85.9375,77.375,43750000,84.1875
2000-02-04,82.75,77.875,11023000,78.5625
2000-02-07,76.875,73.125,10129000,75.0
2000-02-08,84.0,73.4375,19472800,83.125
2000-02-09,83.734375,80.015625,9580400,80.25
2000-02-10,79.875,75.5,9979600,76.1875
2000-02-11,79.125,75.5,8309000,76.1875
2000-02-14,75.75,73.5625,5169700,74.4375
2000-02-15,76.1875,70.625,6424500,73.8125
2000-02-16,73.4375,70.625,4260200,70.6875
2000-02-17,71.3125,68.0,6129600,69.0
2000-02-18,69.0,63.875,8726400,64.75
2000-02-22,66.5,63.0625,5685800,63.5625
2000-02-23,71.75,64.6875,8441200,70.4375
2000-02-24,71.375,65.625,5869300,68.4375
2000-02-25,69.375,65.1875,4870500,69.125
2000-02-28,67.1875,64.125,5057700,65.75
2000-02-29,68.96875,65.875,7148500,68.875
2000-03-01,68.5,65.0,5576700,65.875
2000-03-02,65.0,62.1875,7980100,62.5625
2000-03-03,64.75,62.0625,6059500,62.5
2000-03-06,67.25,62.8125,7665800,63.9375
2000-03-07,65.8125,62.125,4178800,63.5
2000-03-08,64.75,60.5625,5940700,63.625
2000-03-09,69.0,62.1875,8312500,68.8125
2000-03-10,68.53125,65.0,3713500,66.875
2000-03-13,66.625,63.0,5634300,65.3125
2000-03-14,66.9375,63.375,4805300,65.625
2000-03-15,65.125,62.0,6082700,63.75
2000-03-16,66.375,60.0,9703100,66.25
2000-03-17,66.375,64.5,5298500,64.8125
2000-03-20,64.5,62.375,5813500,64.1875
2000-03-21,73.0,62.25,17082900,72.375
2000-03-22,74.0,69.25,11566400,70.6875
2000-03-23,70.9375,67.5,5442100,67.6875
2000-03-24,75.25,71.3125,9746000,72.6875
2000-03-27,75.125,71.75,4748600,73.125
2000-03-28,72.75,69.46875,5197600,70.125
2000-03-29,69.875,65.0,5886500,66.25
2000-03-30,67.375,64.0,5034000,66.5
2000-03-31,67.125,63.0,5115500,67.0
2000-04-03,65.6875,62.0,4865400,63.5625
2000-04-04,65.4375,55.75,14318000,63.9375
2000-04-05,64.9375,60.5,4900000,62.1875
2000-04-06,65.5,61.875,6032700,64.25
2000-04-07,68.625,64.125,6052300,67.5625
2000-04-10,68.4375,63.25,4523600,63.375
2000-04-11,66.0,61.25,4706600,63.375
2000-04-12,64.375,56.25,8695500,56.375
2000-04-13,58.75,47.9375,10679000,48.0
2000-04-14,52.375,40.8125,20074500,46.875
2000-04-17,52.0,44.625,12180900,47.0625
2000-04-18,56.25,47.125,10735000,54.9375
2000-04-19,55.3125,51.6875,5373800,53.4375
2000-04-20,53.6875,49.875,4925300,52.375
2000-04-24,51.5625,44.875,6693300,49.8125
2000-04-25,54.125,50.25,7150400,52.4375
2000-04-26,57.4375,52.453125,12006400,53.5
2000-04-27,55.25,48.5,11266000,52.875
2000-04-28,55.625,53.125,6833800,55.1875
2000-05-01,60.3125,55.25,8578500,59.9375
2000-05-02,60.0,55.875,7427900,56.125
2000-05-03,56.5625,53.0,5424800,54.125
2000-05-04,56.5,53.125,4725200,55.0625
2000-05-05,58.625,54.125,4062100,58.5
2000-05-08,59.25,55.4375,3950000,56.015625
2000-05-09,57.75,53.0,4551800,56.25
2000-05-10,55.375,49.0,8711500,53.3125
2000-05-11,55.75,50.9375,5580800,54.875
2000-05-12,56.5,53.125,3969600,53.75
2000-05-15,56.5,50.875,4125400,56.0625
2000-05-16,59.875,56.0,6432200,59.0625
2000-05-17,62.375,57.0,6998600,61.0
2000-05-18,60.875,55.125,4727000,55.375
2000-05-19,55.75,52.25,4610900,52.625
2000-05-22,53.125,46.875,8272800,51.875
2000-05-23,51.875,46.5,5837200,46.6875
2000-05-24,49.75,40.4375,11666600,48.5625
2000-05-25,50.0,45.5,4919500,45.5
2000-05-26,47.75,44.0,3621000,46.5
2000-05-30,51.875,47.3125,5613200,51.75
2000-05-31,52.25,48.125,6882000,48.3125
2000-06-01,51.125,46.375,7622200,50.1875
2000-06-02,58.125,52.25,8322500,57.875
2000-06-05,56.25,52.5,6813200,54.5
2000-06-06,54.5625,50.25,4853100,50.5625
2000-06-07,52.1875,50.125,3841200,51.8125
2000-06-08,53.4375,51.625,3040300,51.875
2000-06-09,53.25,51.875,1922300,52.1875
2000-06-12,52.1875,47.0,3986000,48.4375
2000-06-13,49.5,46.25,4788500,49.0
2000-06-14,49.875,46.0,5020500,46.4375
2000-06-15,47.9375,45.3125,3554700,46.3125
2000-06-16,47.4375,45.375,3070900,46.0
2000-06-19,45.875,43.5,5151500,45.3125
2000-06-20,48.625,45.125,6199100,46.125
2000-06-21,46.9375,45.0625,3573300,46.0625
2000-06-22,46.4375,41.625,10516100,42.0
2000-06-23,37.0,32.46875,51838200,33.875
2000-06-26,35.328125,32.8125,21076400,33.9375
2000-06-27,38.5,33.5,17638200,36.5
2000-06-28,39.9375,36.125,14874300,37.875
2000-06-29,38.5,36.125,8986500,37.125
2000-06-30,37.25,35.5,6451900,36.3125
2000-07-03,37.5,36.5,1762400,37.0
2000-07-05,38.5,36.375,4213600,36.5
